,Amenities,Amenities_t
1,TV,Non.SmokingRooms
2,Cable.TV,Wheelchairaccess
3,Internet,FreeHighSpeedInternet.WiFi.
4,Wireless.Internet,FreeInternet
5,Air.conditioning,Pool
6,Wheelchair.accessible,Self.ServeLaundry
7,Pool,FamilyRooms
8,Kitchen,MultilingualStaff
9,Free.parking.on.premises,FitnessCenterwithGymWorkoutRoom
10,Smoking.allowed,BusinessCenterwithInternetAccess
11,Pets.allowed,FreeParking
12,Doorman,LaundryService
13,Gym,MeetingRooms
14,Breakfast,Non.SmokingHotel
15,Elevator.in.building,Suites
16,Hot.tub,DryCleaning
17,Indoor.fireplace,ShuttleBusService
18,Buzzer.wireless.intercom,Concierge
19,Heating,AirConditioning
20,Family.kid.friendly,Restaurant
21,Suitable.for.events,HotTub
22,Washer,BarLounge
23,Dryer,ConferenceFacilities
24,Essentials,PaidWifi
25,Shampoo,FreeBreakfast
26,Hangers,BanquetRoom
27,Hair.dryer,RoomService
28,Iron,Refrigeratorinroom
29,Laptop.friendly.workspace,Kitchenette
30,Self.Check.In,PetsAllowed.DogPetFriendly.
31,,ChildrenActivities.KidFamilyFriendly.
32,,AirportTransportation
33,,Accessiblerooms
34,,PublicWifi
35,,Microwave
36,,TennisCourt
37,,Spa
38,,PaidInternet
39,,BreakfastAvailable
40,,Babysitting
41,,Golfcourse
42,,SmokingRoomsAvailable
43,,Minibar
